"","C_CA003_18","C_IA004_18","C_IA005_18","C_IA006_18","C_IA007_18","C_IA008_18","C_IA011_18","C_IA009_18","C_IA014_18","C_IA013_18","C_IA016_18","C_IA018_18","C_IA017_18","C_IA019_18","C_IA020_18","C_IA023_18","C_IA055_18","C_IA027_18","C_IA025_18","C_IA024_18","C_IA029_18","C_IA058_18","C_IA059_18","C_IA050_18","C_IA051_18","C_IA052_18","C_IA054_18","C_IA040_18","C_IA042_18","C_IA043_18","C_IA044_18","C_IA030_18","C_IA031_18","C_IA034_18","C_IA035_18","C_IA036_18","C_IA038_18","C_IA039_18","C_IA045_18","C_IA046_18","C_IA047_18","C_IA048_18","C_IA063_18","C_IA049_18","C_IA068_18","C_IA069_18","C_IA070_18","C_IA078_18","C_IA065_18","C_IA066_18","C_IA076_18","C_IA077_18","C_IA075_18","C_IA062_18","C_IA082_18","C_IA084_18","C_IA083_18","C_IA080_18","C_IA086_18","C_IA064_18","C_IA085_18","C_IA087_18","C_IA092_18","C_IA091_18","C_IA090_18","C_IA060_18","C_IA099_18","C_IA104_18"
"C_CA003_18",0.00061460435556319,0.627526278796578,0.000587484780314967,0.000390214833477413,0.627526498183192,0.0121133325504699,6.8762948706717e-06,0.578450583648999,6.87583331948849e-06,0.627526498183192,0.578450532608862,0.627526053658883,0.602099374056493,0.627730823097874,0.0118844031575439,0.829415569016554,0.627525959746152,5.39455781014254e-05,0.627729871988483,0.627526164496434,0.422567860169199,0.627526795750144,0.627526741921918,0.627526795750144,0.627526179480394,0.627527065547331,0.627526184063947,0.627527065547331,0.62752271787559,0.629352757856611,0.627527065547331,0.627528249161647,0.627548801916402,0.627528697911403,0.627528697911403,0.627528697911403,0.627526203482763,0.627529115618576,0.627528592311337,0.627526184703465,0.627526197991337,0.627534539867747,0.6275270653446,0.627095837420898,0.627527065547331,0.627527065547331,0.627527065547331,0.627528218539673,0.627526183725235,0.627526208965663,0.627536567910585,0.627526795750144,0.627527065547331,0.627526421818415,0.627527928653261,0.627526374346967,0.627526795750629,0.627490292537964,0.62754711653913,0.627527065547331,0.627534540157759,0.627528697911403,0.627527065547331,0.627527065547331,0.627526193779045,0.627544504823144,0.627528697922009,0.627527065547331
"C_IA004_18",0.627526278796578,0.0147077778015382,0.627526185544452,0.627530162355334,0.619050443195268,0.627526184070824,0.62752621408906,0.627526186287447,0.62752621408906,0.619050443195268,0.627526184070824,0.619050443195268,0.62752618380175,0.627507400780665,0.627526189228206,0.619793556933459,0.628435744300003,0.62755988024013,0.707660023412316,0.604879284124321,0.630565668160339,0.619510232358186,0.648958393727102,0.619510232358186,0.627465872485796,0.619760105714103,0.00273283828296075,0.619760105714103,0.619073681845281,0.627967532773253,0.619760105714103,0.48759945724765,0.627889425053883,0.619760105714103,0.619760105714103,0.619760105714103,0.486188171057507,0.619760105714103,0.48759945724765,0.00273317338847617,0.628435744300003,0.619760105714103,0.627918384176695,0.633397255605152,0.619760105714103,0.619760105714103,0.619760105714103,0.619510232358186,0.210808509478015,0.00273287703666905,0.627937737868975,0.619510232358186,0.619760105714103,0.62759356459487,0.627650945018727,0.00353083828404544,0.627650945018727,0.624909158883102,0.619943321192809,0.619760105714103,0.627752496697992,0.619760105714103,0.619760105714103,0.619760105714103,0.0147077778015382,0.637475893381978,0.627752496697992,0.619760105714103
"C_IA005_18",0.000587484780314967,0.627526185544452,0.000594416308692497,1.70592467110764e-05,0.627531860679825,0.0122535580975767,6.96638734779735e-06,0.0122535581989546,6.96638734779735e-06,0.627531860679825,0.0122535580975767,0.627531860679825,0.348570528619615,0.171152885119894,1.72103825122443e-07,0.147096293906992,0.627546770480268,5.39034479504123e-05,0.627729871988483,0.627526065756728,0.638660568028676,0.627533063248079,0.627574327965701,0.627533063248079,0.627526423975803,0.627536096907086,0.627526185544452,0.627536096907086,0.627537569853817,0.632081958533366,0.627536096907086,0.627534327237258,0.627555160832555,0.627536096907086,0.627536096907086,0.627536096907086,0.627532448122292,0.627536096907086,0.627534327237258,0.627526189111765,0.627546770480268,0.627536096907086,0.627536833603034,0.67312623944849,0.627536096907086,0.627536096907086,0.627536096907086,0.627533063248079,0.627526294680422,0.627526187952645,0.627536836749908,0.627533063248079,0.627536096907086,0.62752709973677,0.627533603212759,0.627526215227884,0.627533603212759,0.627526226422213,0.627551054086266,0.627536096907086,0.627536874798938,0.627536096907086,0.627536096907086,0.627536096907086,0.627526185544452,0.627578395498318,0.627536874798938,0.627536096907086
"C_IA006_18",0.000390214833477413,0.627530162355334,1.70592467110764e-05,0.313763198538513,0.627768206871504,0.000373757505204974,0.627300097615069,0.000373758418132389,0.627300097615069,0.627768206871504,0.000373757444777837,0.627768206871504,0,0.601834360934705,0.627300102769065,0.345337319521926,0.628313418584785,0.627300097827583,0.628632355868239,0.627643116937453,0.86138669774923,0.627767505820375,0.627617890399871,0.627767505820375,0.627617404924939,0.627873845278333,0.62752957067811,0.627873845278333,0.627743403410038,0.835027786623255,0.627873845278333,0.627861669241682,0.628632355868239,0.627934515082339,0.627934515082339,0.627934515082339,0.627626692438367,0.627873845278333,0.627811816943724,0.62752957067811,0.628313418584785,0.627934515082339,0.627873845278333,0.9204718021192,0.627873845278333,0.627873845278333,0.627873845278333,0.627767505820375,0.627611098106863,0.627534665989032,0.627934515082339,0.627767505820375,0.627873845278333,0.627873845278333,0.627809628887043,0.627547388050526,0.627767505820375,0.627615805531631,0.628550502129983,0.627873845278333,0.627934515082339,0.627934515082339,0.627873845278333,0.627873845278333,0.62752957067811,0.627767505820375,0.627934515082339,0.627873845278333
"C_IA007_18",0.627526498183192,0.619050443195268,0.627531860679825,0.627768206871504,0.0371819579099351,0.627528681723331,0.627623043510172,0.627529111000357,0.627555379547772,0.0371819579099351,0.627528681723331,0.0371819579099351,0.6275262005587,0.627745183712173,0.627528777332182,0.815601845631637,0.0237643828490853,0.628402650961108,0.299045003257058,0.041908487730115,0.0533734992580919,0.476818467525088,0.241764619665216,0.476818467525088,0.450346151353265,0.479482004121334,0.618962113906028,0.479482004121334,0.0371863079221774,0.538287630724121,0.479482004121334,0.477930460342862,0.52567076863643,0.479482004121334,0.479482004121334,0.479482004121334,0.0371856622822499,0.479482004121334,0.477930460342862,0.626384893594517,0.0237643828490853,0.479482004121334,0.0562606484040128,0.0627352414314917,0.479482004121334,0.479482004121334,0.479482004121334,0.476818467525088,0.486157075869054,0.619074630325536,0.0242889682605921,0.476818467525088,0.479482004121334,0.452396144235241,0.485574784726023,0.609687780467244,0.485574784726023,0.00361949852259914,0.481424762299821,0.479482004121334,0.488256546838523,0.479482004121334,0.479482004121334,0.479482004121334,0.619050443195268,0.217591022845441,0.488256546838523,0.479482004121334
"C_IA008_18",0.0121133325504699,0.627526184070824,0.0122535580975767,0.000373757505204974,0.627528681723331,0.000594416305311715,0.000162202652787346,0.000594416307450986,0.000162202652787346,0.627528681723331,0.000594416305311715,0.627528681723331,0.604466588037112,0.0110203714396946,1.97118072760352e-05,0.147096293906992,0.627534984258052,5.39034479504123e-05,0.627613309501485,0.627526065756728,0.638660568028676,0.627529120373523,0.627546740202758,0.627529120373523,0.627526286266239,0.627530414971185,0.627526184070824,0.627530414971185,0.627532426227443,0.629492962666192,0.627530414971185,0.627534327237258,0.627538563650595,0.627530414971185,0.627530414971185,0.627530414971185,0.627532448122292,0.627530414971185,0.627534327237258,0.627526185869423,0.627534984258052,0.627530414971185,0.627530744885809,0.67312623944849,0.627530414971185,0.627530414971185,0.627530414971185,0.627529120373523,0.627526231251,0.62752617768576,0.627530745035818,0.627529120373523,0.627530414971185,0.627526574639476,0.627529350716093,0.627526215227884,0.627529350716093,0.627526226422213,0.62753681254952,0.627530414971185,0.627530746849576,0.627530414971185,0.627530414971185,0.627530414971185,0.627526184070824,0.627548476133016,0.627530746849576,0.627530414971185
"C_IA011_18",6.8762948706717e-06,0.62752621408906,6.96638734779735e-06,0.627300097615069,0.627623043510172,0.000162202652787346,0.0780554402853934,0.000162202658347668,0.0780554402853934,0.627623043510172,0.000162202652787346,0.627623043510172,0.000460338843757206,0.171152885119894,0.0110202157260929,0.147096293906992,0.627868765549056,0.313764858992458,0.630901549538116,0.627526688068104,0.638660568028676,0.627640564823747,0.628325972398911,0.627640564823747,0.627530178092442,0.627690978317627,0.62752621408906,0.627690978317627,0.627761158875974,0.632081958533366,0.627690978317627,0.627661570783165,0.628008041532273,0.627690978317627,0.627690978317627,0.627690978317627,0.627638971848379,0.627690978317627,0.627661570783165,0.627526273235,0.627868765549056,0.627690978317627,0.627703733144644,0.67312623944849,0.627690978317627,0.627690978317627,0.627690978317627,0.627640564823747,0.627528033870509,0.627526258655187,0.627703745994372,0.627640564823747,0.627690978317627,0.627541412295078,0.627649535764905,0.627526748171015,0.627649535764905,0.627527000126425,0.627939907670264,0.627690978317627,0.627703901361198,0.627690978317627,0.627690978317627,0.627690978317627,0.62752621408906,0.628393426375856,0.627703901361198,0.627690978317627
"C_IA009_18",0.578450583648999,0.627526186287447,0.0122535581989546,0.000373758418132389,0.627529111000357,0.000594416307450986,0.000162202658347668,0.000594416306726145,0.000162202658347528,0.627529111000357,0.000594416306726145,0.627527066615392,0.604466584470221,0.0110208141473793,1.9711811093784e-05,0.151404743805615,0.627536491210296,5.39048668537625e-05,0.627586648226911,0.627526079217198,0.647619336706535,0.627528386189094,0.627528723429856,0.627528386189094,0.627526253200998,0.627528386189094,0.627526185536258,0.627528386189094,0.627526976115756,0.629828747575062,0.627528386189094,0.627533357510565,0.627534775461506,0.627528770762104,0.627528770762104,0.627528770762104,0.627528668985701,0.627528683831637,0.627533116388867,0.627526190179522,0.627535263919963,0.627529120373523,0.627528556985314,0.632135123950514,0.627528386189094,0.627528386189094,0.627528386189094,0.627528683831637,0.627526200935906,0.627526181367526,0.627529348902335,0.627528386189094,0.627528386189094,0.627526387213136,0.627528973684431,0.627526279843727,0.62752855894908,0.627526235187007,0.627533560048564,0.627528386189094,0.627529350716093,0.627528770762104,0.627528386189094,0.627528386189094,0.627526185536258,0.627545162300491,0.627528973684431,0.627528386189094
"C_IA014_18",6.87583331948849e-06,0.62752621408906,6.96638734779735e-06,0.627300097615069,0.627555379547772,0.000162202652787346,0.0780554402853934,0.000162202658347528,0.0780554402853934,0.627555379547772,0.000162202652787346,0.627555379547772,0.000460338843757206,0.171152885119894,0.011020215726093,0.147096293906992,0.627631351220968,0.313764858992458,0.628565576376275,0.627526688068104,0.599537151605184,0.627561319551396,0.627772017001225,0.627561319551396,0.627527410722043,0.627576811351477,0.62752621408906,0.627576811351477,0.627588064510044,0.628906599952613,0.627576811351477,0.627567774362043,0.627674185131561,0.627576811351477,0.627576811351477,0.627576811351477,0.627558882804234,0.627576811351477,0.627567774362043,0.627526273235,0.627631351220968,0.627576811351477,0.627580615221822,0.611980167805384,0.627576811351477,0.627576811351477,0.627576811351477,0.627561319551396,0.627526750818458,0.627526258655187,0.627580628071551,0.627561319551396,0.627576811351477,0.627530861942336,0.627564076774283,0.627526748171015,0.627564076774283,0.627527000126425,0.627653222575433,0.627576811351477,0.627580783438388,0.627576811351477,0.627576811351477,0.627576811351477,0.62752621408906,0.627792777058031,0.627580783438388,0.627576811351477
"C_IA013_18",0.627526498183192,0.619050443195268,0.627531860679825,0.627768206871504,0.0371819579099351,0.627528681723331,0.627623043510172,0.627529111000357,0.627555379547772,0.0371819579099351,0.627528681723331,0.0371819579099351,0.6275262005587,0.627745183712173,0.627528777332182,0.815601845631637,0.0237643828490853,0.628402650961108,0.299045003257058,0.041908487730115,0.0533734992580919,0.476818467525088,0.241764619665216,0.476818467525088,0.450346151353265,0.479482004121334,0.618962113906028,0.479482004121334,0.0371863079221774,0.538287630724121,0.479482004121334,0.477930460342862,0.52567076863643,0.479482004121334,0.479482004121334,0.479482004121334,0.0371856622822499,0.479482004121334,0.477930460342862,0.626384893594517,0.0237643828490853,0.479482004121334,0.0562606484040128,0.0627352414314917,0.479482004121334,0.479482004121334,0.479482004121334,0.476818467525088,0.486157075869054,0.619074630325536,0.0242889682605921,0.476818467525088,0.479482004121334,0.452396144235241,0.485574784726023,0.609687780467244,0.485574784726023,0.00361949852259914,0.481424762299821,0.479482004121334,0.488256546838523,0.479482004121334,0.479482004121334,0.479482004121334,0.619050443195268,0.217591022845441,0.488256546838523,0.479482004121334
