"","C_CA003_18","C_IA004_18","C_IA005_18","C_IA006_18","C_IA007_18","C_IA008_18","C_IA011_18","C_IA009_18","C_IA014_18","C_IA013_18","C_IA016_18","C_IA018_18","C_IA017_18","C_IA019_18","C_IA020_18","C_IA023_18","C_IA055_18","C_IA027_18","C_IA025_18","C_IA024_18","C_IA029_18","C_IA058_18","C_IA059_18","C_IA050_18","C_IA051_18","C_IA052_18","C_IA054_18","C_IA040_18","C_IA042_18","C_IA043_18","C_IA044_18","C_IA030_18","C_IA031_18","C_IA034_18","C_IA035_18","C_IA036_18","C_IA038_18","C_IA039_18","C_IA045_18","C_IA046_18","C_IA047_18","C_IA048_18","C_IA063_18","C_IA049_18","C_IA068_18","C_IA069_18","C_IA070_18","C_IA078_18","C_IA065_18","C_IA066_18","C_IA076_18","C_IA077_18","C_IA075_18","C_IA062_18","C_IA082_18","C_IA084_18","C_IA083_18","C_IA080_18","C_IA086_18","C_IA064_18","C_IA085_18","C_IA087_18","C_IA092_18","C_IA091_18","C_IA090_18","C_IA060_18","C_IA099_18","C_IA104_18"
"C_CA003_18",0.0376133639976523,0.927857908278461,0.242144473246139,0.282625538002582,0.722734491234614,0.304604881756076,0.20941165539263,0.500919557058131,0.171817192714381,0.722734491234614,0.498750379280475,0.676518977996675,0.559024011725358,0.833618806678104,0.348941896770363,0.898460666144355,0.686698643508658,0.267406387797329,0.843761507333537,0.759560327819979,0.469847868271984,0.78784374388837,0.759019225367815,0.78784374388837,0.822407992461262,0.791678698805424,0.941865460266458,0.788390118238514,0.64777745354905,0.802441914537358,0.791678698805424,0.796907017297004,0.799525647158918,0.810277774552314,0.810277774552314,0.810277774552314,0.718162862361153,0.810649073406447,0.804674124768295,0.945177840318362,0.720257214993542,0.84465336114929,0.774507516293179,0.595317742427676,0.78854147792801,0.78784374388837,0.788390118238514,0.796907017297004,0.704947900012753,0.889626522835194,0.808226993551495,0.78784374388837,0.78784374388837,0.863285534169211,0.743599125545767,0.891668323507832,0.757770920465941,0.719417034330055,0.853118823832166,0.78784374388837,0.810009640859909,0.810277774552314,0.78784374388837,0.790537358367863,0.906085877092926,0.854311876685879,0.792772773022201,0.790820856504258
"C_IA004_18",0.927857908278461,0.0708504733188203,0.706073981538787,0.690210811367488,0.572954072628016,0.665380564798589,0.708789850474018,0.672012871745445,0.708789850474018,0.572954072628016,0.665772709172764,0.589721492533151,0.885978248498173,0.548720849331559,0.693107084059863,0.475039204808726,0.833594799914332,0.719713221311061,0.798832829264734,0.506681162730728,0.873609073048686,0.590950829549829,0.815451709062073,0.590063727378337,0.747832549994506,0.60210006714822,0.0710087740115205,0.599811161693969,0.616840885624572,0.866619699015763,0.599811161693969,0.526901259728335,0.828829322639092,0.602493211284842,0.599811161693969,0.599811161693969,0.554303609631653,0.599909048614828,0.526901259728335,0.0710087740115205,0.829600454919707,0.599811161693969,0.805369023617868,0.882558614803875,0.60210006714822,0.599811161693969,0.60210006714822,0.590063727378337,0.387794717400527,0.0792821592253136,0.814432297026501,0.590950829549829,0.602493211284842,0.79291464365723,0.771714605792662,0.101907608783244,0.766645677378653,0.626957983094856,0.602493211284842,0.60014630740383,0.813423775654649,0.60210006714822,0.60210006714822,0.601886430690909,0.0708504733188203,0.794143588580572,0.809800729514156,0.599811161693969
"C_IA005_18",0.241410347016954,0.705886821483505,0.0431841406748559,0.0830980775133731,0.816473865551495,0.0789889886799313,0.0218751863442346,0.0783093845397404,0.0200909812971084,0.815009172224018,0.0783093845397404,0.813445478872718,0.3959998620118,0.284683925310471,0.0390183325643486,0.318706484583566,0.850877926698912,0.105064521688588,0.862193467123956,0.685045639765348,0.774925634427552,0.821718864086511,0.867126812405859,0.821718864086511,0.961756812928897,0.831201496512513,0.705886821483505,0.831331441994413,0.812671743848696,0.905160180716729,0.831572795366645,0.826886322076029,0.842239061244056,0.831572795366645,0.831572795366645,0.831572795366645,0.823616699829048,0.831818107084628,0.827966987554174,0.711359415143633,0.850877926698912,0.832011046134604,0.840232933467174,0.819846987746403,0.831572795366645,0.831572795366645,0.831572795366645,0.818780657289026,0.84803703392123,0.69089407292484,0.827658682268116,0.818472352002968,0.831572795366645,0.917817501206345,0.816417930702933,0.687017239120546,0.816417930702933,0.784258347425487,0.840137052371755,0.831201496512513,0.854834232332521,0.831572795366645,0.831201496512513,0.831201496512513,0.706073981538787,0.858472573068526,0.854834232332521,0.831201496512513
"C_IA006_18",0.281473117619912,0.690210811367488,0.0824967313983323,0.19391560709908,0.869614325667099,0.125706724964384,0.511066538580135,0.125705616287644,0.511066538580135,0.869614325667099,0.125398419678326,0.869614325667099,0.185434721011412,0.403977219385317,0.52287838602047,0.347754207380991,0.889471727404502,0.517443468754911,0.858223959143713,0.846696601885342,0.866324981718782,0.864545397253091,0.876996216210436,0.864540080016868,0.90255706133025,0.864819641742325,0.68838256650421,0.864603073584943,0.86870165861477,0.859948051544007,0.864686552615259,0.864545397253091,0.859160789128495,0.865240296102663,0.865240296102663,0.865240296102663,0.88368145167127,0.864853702539149,0.864853702539149,0.688168930046899,0.889471727404502,0.865548601388721,0.864545397253091,0.940316394320932,0.864545397253091,0.864686552615259,0.864911378871001,0.864540080016868,0.876996216210436,0.703055186943448,0.870309224516671,0.86423177473081,0.864729179422494,0.864603073584943,0.838276430974514,0.690671117784839,0.833207502560505,0.803915741473045,0.865548601388721,0.864603073584943,0.870309224516671,0.865240296102663,0.864819641742325,0.864603073584943,0.68838256650421,0.865042801944775,0.870680523370805,0.864819641742325
"C_IA007_18",0.722734491234614,0.572954072628016,0.813445478872718,0.869614325667099,0.0719435632984886,0.819926794605492,0.836112756119498,0.820344252096578,0.789665906852749,0.0818505577077504,0.819393663063693,0.0818505577077504,0.865172946336611,0.846347951187648,0.854608699462901,0.842340833163998,0.127008128950713,0.876686154691448,0.390710063096875,0.343236235442726,0.23715794053966,0.374402503223743,0.273987151726451,0.375340046879972,0.349057643153159,0.377678626414419,0.621398771691887,0.377678626414419,0.0898285791447688,0.427597389654732,0.378049925268552,0.378049925268552,0.411983764483758,0.381222893305083,0.378049925268552,0.378611523225059,0.0882274878825263,0.380351057149115,0.376468496690286,0.665927665090128,0.127008128950713,0.37835823055461,0.278006472838471,0.3526148534201,0.378049925268552,0.380042751863057,0.377986931700477,0.371670867021443,0.470824342532742,0.581227457841809,0.204703685919529,0.375340046879972,0.377678626414419,0.446387355364103,0.357539808065804,0.54371481908772,0.357243260778355,0.24265769621666,0.385157846458676,0.378049925268552,0.397215440017035,0.378049925268552,0.37835823055461,0.377678626414419,0.572954072628016,0.345677085583806,0.397422922433613,0.377678626414419
"C_IA008_18",0.304604881756076,0.665948996042076,0.0789889886799313,0.125706724964384,0.819926794605492,0.0403517000591254,0.0747419724511496,0.0403517000591254,0.0747419724511496,0.817074047609382,0.0403517000591254,0.833841467514517,0.461348378222603,0.129450406674143,0.0769938130376355,0.314712139588941,0.870828771090935,0.109345279382214,0.875965857990794,0.685045639765348,0.774925634427552,0.81134397225602,0.919338031027809,0.81134397225602,1,0.821882395699629,0.665772709172764,0.817349603576663,0.857946410622143,0.914919507269164,0.815222150179245,0.84477002870539,0.860652285971295,0.816370121433682,0.816370121433682,0.816370121433682,0.838763726488825,0.825381698524686,0.842669999268885,0.671416926389334,0.86683442609631,0.818268471111616,0.833246734982239,0.810783714337769,0.818793446835913,0.818268471111616,0.822705682240295,0.81134397225602,0.878963724637978,0.641313385939887,0.829848221776626,0.81134397225602,0.821882395699629,0.929467089912015,0.80804363058077,0.677953965711912,0.802974702166761,0.784258347425487,0.848567136080135,0.817349603576663,0.860312065603693,0.822276256967308,0.818793446835913,0.818268471111616,0.665772709172764,0.865255970420823,0.853896065944225,0.815222150179245
"C_IA011_18",0.20941165539263,0.708789850474018,0.0218573903515626,0.511066538580135,0.836421061405556,0.0747419724511496,0.154972472471694,0.0749002731438498,0.164879466880955,0.836112756119498,0.074602627283573,0.836112756119498,0.24604482969764,0.284683925310471,0.0731023139053062,0.319648390909441,0.862281262353363,0.2601119131205,0.876060117873402,0.71047545490169,0.774925634427552,0.838282012185341,0.870309224516671,0.839651313686925,0.97467790328128,0.846821185155947,0.708789850474018,0.844790375698825,0.827818198523832,0.905160180716729,0.844162713058289,0.841924282241773,0.850909408422471,0.843960405582173,0.845091540955066,0.847929913562416,0.844582893282246,0.847866919994341,0.841489989819564,0.723297364286678,0.862281262353363,0.847453997862878,0.85537938814231,0.819846987746403,0.847558614708283,0.847558614708283,0.845765544246391,0.839959618972983,0.840034046719281,0.700657023991315,0.842805136943252,0.838282012185341,0.844790375698825,0.96203033175054,0.832179941900357,0.687107779516048,0.832265862140296,0.783560613385847,0.849246740220326,0.847558614708283,0.869980687007657,0.843960405582173,0.846821185155947,0.844720242100934,0.708789850474018,0.860317689105278,0.869980687007657,0.847558614708283
"C_IA009_18",0.500919557058131,0.672012871745445,0.0783093845397404,0.126333208965294,0.820344252096578,0.0403517000591254,0.0749002731438498,0.0403517000591254,0.0749002731438498,0.820344252096578,0.0403517000591254,0.81887472339303,0.461348378222603,0.129450406674143,0.0777848596328571,0.315654045914816,0.871508375231126,0.110557593460718,0.875965857990794,0.685052439904401,0.80849152082463,0.804217062853889,0.877686826806594,0.803806986881892,0.995749290283438,0.801317415293054,0.667204203300795,0.801317415293054,0.813770291521663,0.918913852263789,0.798580962729296,0.838971329824087,0.85876201831047,0.810972673401887,0.810972673401887,0.810972673401887,0.81158817642442,0.810809250886009,0.838922588742861,0.676540212556703,0.86683442609631,0.811652277542077,0.813166935025199,0.759379283747937,0.804877123135322,0.803864362959448,0.802056851008676,0.810809250886009,0.868651462538471,0.642246230763799,0.815962073185681,0.802056851008676,0.804877123135322,0.929467089912015,0.807434084708743,0.69101707004359,0.796453201224657,0.787094591923372,0.839651313686925,0.804877123135322,0.84337587026798,0.810972673401887,0.803864362959448,0.804217062853889,0.667248486536456,0.863751309762403,0.838834972969403,0.804877123135322
"C_IA014_18",0.171817192714381,0.708789850474018,0.0217997723094053,0.511066538580135,0.789884352072994,0.074602627283573,0.165185102210086,0.0749002731438498,0.154392603720205,0.789884352072994,0.0747419724511496,0.789665906852749,0.24604482969764,0.284683925310471,0.0731023139053062,0.317275120244991,0.813235623850107,0.2601119131205,0.816717414007631,0.71047545490169,0.489922873776028,0.793595686443864,0.832019862988851,0.794817697354898,0.916104955188878,0.795188996209031,0.705540809329196,0.796154993428959,0.778777877256798,0.842301453341915,0.795497301495089,0.795188996209031,0.806609478060431,0.795497301495089,0.795560295063164,0.795497301495089,0.796600666020359,0.795497301495089,0.795126002640956,0.722491945206925,0.813424723255733,0.795497301495089,0.80476232039115,0.490770980846622,0.795126002640956,0.795188996209031,0.794817697354898,0.795126002640956,0.797470007306805,0.700661963329414,0.792191368816671,0.794817697354898,0.794817697354898,0.90303576715175,0.785901874961687,0.687107779516048,0.785901874961687,0.783560613385847,0.804266825995449,0.794817697354898,0.820940365740623,0.795188996209031,0.795188996209031,0.795497301495089,0.708789850474018,0.822028327577457,0.819582041996607,0.794817697354898
"C_IA013_18",0.722734491234614,0.572954072628016,0.816473865551495,0.869614325667099,0.0818505577077504,0.817008077579818,0.836112756119498,0.820344252096578,0.789884352072994,0.0719435632984886,0.819393663063693,0.0818505577077504,0.865172946336611,0.846347951187648,0.854608699462901,0.84778106043214,0.127008128950713,0.876686154691448,0.390710063096875,0.343801276215141,0.23715794053966,0.371362561735385,0.273987151726451,0.375044809595917,0.349057643153159,0.377678626414419,0.621398771691887,0.377678626414419,0.0898285791447688,0.427239272612859,0.377678626414419,0.377340332846254,0.411983764483758,0.378421224122685,0.378729529408743,0.382767445215264,0.0882274878825263,0.379055603228816,0.377986931700477,0.666073908211846,0.127008128950713,0.378479188567057,0.278006472838471,0.35465873073176,0.377678626414419,0.378049925268552,0.377678626414419,0.374710808509801,0.46730218514133,0.581227457841809,0.204703685919529,0.375044809595917,0.383318068316991,0.446387355364103,0.357243260778355,0.54371481908772,0.356652495957347,0.24265769621666,0.385157846458676,0.377678626414419,0.397462799180201,0.378049925268552,0.377986931700477,0.378049925268552,0.572954072628016,0.345677085583806,0.397422922433613,0.377678626414419
