"","C_CA003_18","C_IA004_18","C_IA005_18","C_IA006_18","C_IA007_18","C_IA008_18","C_IA011_18","C_IA009_18","C_IA014_18","C_IA013_18","C_IA016_18","C_IA018_18","C_IA017_18","C_IA019_18","C_IA020_18","C_IA023_18","C_IA055_18","C_IA027_18","C_IA025_18","C_IA024_18","C_IA029_18","C_IA058_18","C_IA059_18","C_IA050_18","C_IA051_18","C_IA052_18","C_IA054_18","C_IA040_18","C_IA042_18","C_IA043_18","C_IA044_18","C_IA030_18","C_IA031_18","C_IA034_18","C_IA035_18","C_IA036_18","C_IA038_18","C_IA039_18","C_IA045_18","C_IA046_18","C_IA047_18","C_IA048_18","C_IA063_18","C_IA049_18","C_IA068_18","C_IA069_18","C_IA070_18","C_IA078_18","C_IA065_18","C_IA066_18","C_IA076_18","C_IA077_18","C_IA075_18","C_IA062_18","C_IA082_18","C_IA084_18","C_IA083_18","C_IA080_18","C_IA086_18","C_IA064_18","C_IA085_18","C_IA087_18","C_IA092_18","C_IA091_18","C_IA090_18","C_IA060_18","C_IA099_18","C_IA104_18"
"C_CA003_18",0.018389989167528,0.891104947621416,0.329132614490581,0.391440456559463,0.581480916628772,0.421400972314011,0.330353523863637,0.421400972314011,0.273606472526472,0.581480916628772,0.421400972314011,0.569898191558445,0.50681503965799,0.615801038874747,0.488325585353051,0.547758294610257,0.585263911939863,0.372797843558889,0.631110962565301,0.694974541051905,0.430727613517671,0.679760233306035,0.636250995090447,0.679760233306035,0.787660880637566,0.679760233306035,0.964229914144253,0.679760233306035,0.526514228944147,0.539816119009906,0.679760233306035,0.679760233306035,0.597157685176767,0.679760233306035,0.679760233306035,0.679760233306035,0.602829466714918,0.679760233306035,0.679760233306035,0.964229914144253,0.610573533899137,0.679760233306035,0.659629832761002,0.44978808678831,0.679760233306035,0.679760233306035,0.679760233306035,0.679760233306035,0.607562534737018,0.860795445694118,0.620719234545076,0.679760233306035,0.679760233306035,0.793636023543395,0.605473749191501,0.836478492591969,0.634366738279614,0.635211222926025,0.679760233306035,0.679760233306035,0.627467187104065,0.679760233306035,0.679760233306035,0.679760233306035,0.891104947621416,0.686971417128522,0.653337267004107,0.679760233306035
"C_IA004_18",0.891104947621416,0.0685598230893341,0.601912014267176,0.493302732285923,0.486787976063824,0.544616696914293,0.582330546699433,0.544616696914293,0.582330546699433,0.486787976063824,0.544616696914293,0.512097598023098,0.880598171255727,0.377553459439164,0.570894521124229,0.280721642403674,0.614242486818268,0.472513964050431,0.427850526737569,0.4272455434859,0.635651925200511,0.473107396404945,0.469564856745342,0.473107396404945,0.678103090805163,0.473107396404945,0.0687987704474131,0.473107396404945,0.55303303059365,0.664091999517858,0.473107396404945,0.473107396404945,0.607049225781434,0.473107396404945,0.473107396404945,0.473107396404945,0.517983156737119,0.473107396404945,0.473107396404945,0.0687987704474131,0.608213213241246,0.473107396404945,0.571637021480589,0.622284530370098,0.473107396404945,0.473107396404945,0.473107396404945,0.473107396404945,0.355491726944792,0.0812870514870273,0.585317601139468,0.473107396404945,0.473107396404945,0.571637021480589,0.531985267690606,0.115439090274729,0.524333961608751,0.508631129558925,0.473107396404945,0.473107396404945,0.585317601139468,0.473107396404945,0.473107396404945,0.473107396404945,0.0685598230893341,0.488265800262737,0.579848785503212,0.473107396404945
"C_IA005_18",0.329132614490581,0.601912014267176,0.0267988113069664,0.126849710801064,0.656423982914407,0.0808445245082076,0.0429738570152297,0.0798186944182174,0.0429738570152297,0.656423982914407,0.0798186944182174,0.656423982914407,0.334993154633486,0.200628369923505,0.0731529164018091,0.25340556589788,0.678173720245674,0.137100086888603,0.658933128223665,0.582557952570974,0.459257213539468,0.656423982914407,0.689242630150963,0.656423982914407,0.942273730081098,0.656423982914407,0.601912014267176,0.656423982914407,0.626626764631935,0.669531470072159,0.656423982914407,0.656984440855175,0.659959531486911,0.656984440855175,0.656984440855175,0.656984440855175,0.666049655373104,0.65688935506363,0.65688935506363,0.601912014267176,0.678173720245674,0.657449813004398,0.668229068023759,0.459570398367933,0.656423982914407,0.656423982914407,0.656423982914407,0.65688935506363,0.770619138482617,0.571602512339878,0.649248834566873,0.656423982914407,0.656423982914407,0.869148763558261,0.64296597354237,0.547285559237729,0.64296597354237,0.692876519323223,0.657449813004398,0.656423982914407,0.690269033414209,0.656984440855175,0.656423982914407,0.656423982914407,0.601912014267176,0.674160883198492,0.690269033414209,0.656423982914407
"C_IA006_18",0.391440456559463,0.493302732285923,0.126849710801064,0.0359858677438593,0.66966116258322,0.157729523644475,0.320716070285232,0.157264151495252,0.320716070285232,0.66966116258322,0.157264151495252,0.66966116258322,0.294161483086684,0.272779289236862,0.338545491570491,0.262168636204775,0.698586048262021,0.330341742743928,0.639351660655922,0.647477042417908,0.499251009123558,0.662009856501364,0.698554151671333,0.662009856501364,0.737137030289641,0.662009856501364,0.493302732285923,0.662009856501364,0.66875693338886,0.489625336664861,0.662009856501364,0.662009856501364,0.639351660655922,0.662009856501364,0.662009856501364,0.662009856501364,0.70817982413003,0.662475228650587,0.662475228650587,0.492980258225999,0.698586048262021,0.662475228650587,0.662009856501364,0.491912887870167,0.662009856501364,0.662009856501364,0.662009856501364,0.662475228650587,0.698554151671333,0.462993230358625,0.66966116258322,0.662009856501364,0.662009856501364,0.662009856501364,0.622358102711382,0.434553156041278,0.614706796629526,0.588242654811809,0.662475228650587,0.662009856501364,0.66966116258322,0.662009856501364,0.662009856501364,0.662009856501364,0.493302732285923,0.662760665199335,0.670221620523988,0.662009856501364
"C_IA007_18",0.581480916628772,0.486787976063824,0.656423982914407,0.66966116258322,0.0702097903657188,0.695515559780441,0.636842515346664,0.694489729690451,0.580095464009499,0.0851639267009259,0.694489729690451,0.0851639267009259,0.828410150280973,0.635015076408504,0.746675653623521,0.493523786972182,0.153327130296031,0.679286835041917,0.33303772862436,0.3737850662205,0.212802315454317,0.275443261748443,0.174346818167105,0.275443261748443,0.243116422568162,0.275443261748443,0.559912942586661,0.275443261748443,0.0972063701833653,0.321890820946553,0.275443261748443,0.276003719689211,0.299084451235827,0.276003719689211,0.276003719689211,0.276003719689211,0.0947895991596227,0.275908633897666,0.275908633897666,0.559912942586661,0.153327130296031,0.276469091838434,0.25531286120341,0.359318129700423,0.275443261748443,0.275443261748443,0.275443261748443,0.275908633897666,0.391975177950615,0.499276257103438,0.270604874034871,0.275443261748443,0.275443261748443,0.389319051985803,0.230049766722022,0.482739549913285,0.230049766722022,0.327894645382732,0.276469091838434,0.275443261748443,0.27735282659386,0.276003719689211,0.275443261748443,0.275443261748443,0.486787976063824,0.283119817720153,0.27735282659386,0.275443261748443
"C_IA008_18",0.421400972314011,0.544616696914293,0.0808445245082076,0.157729523644475,0.695515559780441,0.0225233770653348,0.0810396037912736,0.0225233770653348,0.0810396037912736,0.694489729690451,0.0225233770653348,0.719799351649725,0.359378321750651,0.157013632229501,0.111218663177853,0.247376292320857,0.716239467021718,0.137100086888603,0.696998874999709,0.582557952570974,0.459257213539468,0.680809150031573,0.781510987974394,0.680809150031573,1,0.680809150031573,0.544616696914293,0.680809150031573,0.718895122455366,0.707597216848203,0.680809150031573,0.680809150031573,0.698025278262954,0.680809150031573,0.680809150031573,0.680809150031573,0.688913370884194,0.680809150031573,0.680809150031573,0.544616696914293,0.710210193444695,0.680809150031573,0.692614235140924,0.445889818709055,0.680809150031573,0.680809150031573,0.680809150031573,0.680809150031573,0.831548600769751,0.514307194986995,0.687314581342917,0.680809150031573,0.680809150031573,0.893533930675426,0.675002446741391,0.53360497957885,0.667351140659536,0.692876519323223,0.680809150031573,0.680809150031573,0.728334780190252,0.680809150031573,0.680809150031573,0.680809150031573,0.544616696914293,0.698080678166435,0.722865964553997,0.680809150031573
"C_IA011_18",0.330353523863637,0.582330546699433,0.0429738570152297,0.320716070285232,0.636842515346664,0.0810396037912736,0.0268256735105414,0.0810396037912736,0.0417798098457485,0.636842515346664,0.0810396037912736,0.636842515346664,0.336214064006542,0.200628369923505,0.0719588692323279,0.25340556589788,0.658592252677931,0.135906039719122,0.639351660655922,0.562976485003231,0.459257213539468,0.636842515346664,0.66966116258322,0.636842515346664,0.922692262513355,0.636842515346664,0.582330546699433,0.636842515346664,0.607045297064192,0.669531470072159,0.636842515346664,0.637402973287432,0.640378063919168,0.637402973287432,0.637402973287432,0.637402973287432,0.646468187805361,0.637307887495887,0.637307887495887,0.582330546699433,0.658592252677931,0.637868345436655,0.648647600456016,0.459570398367933,0.636842515346664,0.636842515346664,0.636842515346664,0.637307887495887,0.751037670914874,0.552021044772135,0.62966736699913,0.636842515346664,0.636842515346664,0.849567295990518,0.623384505974627,0.527704091669986,0.623384505974627,0.67329505175548,0.637868345436655,0.636842515346664,0.670687565846466,0.637402973287432,0.636842515346664,0.636842515346664,0.582330546699433,0.654579415630749,0.670687565846466,0.636842515346664
"C_IA009_18",0.421400972314011,0.544616696914293,0.0798186944182174,0.157264151495252,0.694489729690451,0.0225233770653348,0.0810396037912736,0.0225233770653348,0.0810396037912736,0.694489729690451,0.0225233770653348,0.719799351649725,0.359378321750651,0.157013632229501,0.111218663177853,0.247376292320857,0.716239467021718,0.137100086888603,0.696998874999709,0.582557952570974,0.459257213539468,0.680809150031573,0.781510987974394,0.680809150031573,1,0.680809150031573,0.544616696914293,0.680809150031573,0.718895122455366,0.707597216848203,0.680809150031573,0.680809150031573,0.698025278262954,0.680809150031573,0.680809150031573,0.680809150031573,0.688913370884194,0.680809150031573,0.680809150031573,0.544616696914293,0.710210193444695,0.680809150031573,0.692614235140924,0.445889818709055,0.680809150031573,0.680809150031573,0.680809150031573,0.680809150031573,0.831548600769751,0.514307194986995,0.687314581342917,0.680809150031573,0.680809150031573,0.893533930675426,0.675002446741391,0.53360497957885,0.667351140659536,0.692876519323223,0.680809150031573,0.680809150031573,0.728334780190252,0.680809150031573,0.680809150031573,0.680809150031573,0.544616696914293,0.698080678166435,0.722865964553997,0.680809150031573
"C_IA014_18",0.273606472526472,0.582330546699433,0.0429738570152297,0.320716070285232,0.580095464009499,0.0810396037912736,0.0417798098457485,0.0810396037912736,0.0267118396158365,0.580095464009499,0.0810396037912736,0.580095464009499,0.336214064006542,0.200628369923505,0.0719588692323279,0.25340556589788,0.601845201340766,0.135906039719122,0.582604609318757,0.562976485003231,0.402510162202303,0.580095464009499,0.612914111246055,0.580095464009499,0.86594521117619,0.580095464009499,0.582330546699433,0.580095464009499,0.550298245727027,0.612784418734994,0.580095464009499,0.580655921950267,0.583631012582003,0.580655921950267,0.580655921950267,0.580655921950267,0.589721136468196,0.580560836158722,0.580560836158722,0.582330546699433,0.601845201340766,0.58112129409949,0.591900549118851,0.402823347030768,0.580095464009499,0.580095464009499,0.580095464009499,0.580560836158722,0.694290619577709,0.552021044772135,0.572920315661965,0.580095464009499,0.580095464009499,0.792820244653353,0.566637454637462,0.527704091669986,0.566637454637462,0.67329505175548,0.58112129409949,0.580095464009499,0.613940514509301,0.580655921950267,0.580095464009499,0.580095464009499,0.582330546699433,0.597832364293584,0.613940514509301,0.580095464009499
"C_IA013_18",0.581480916628772,0.486787976063824,0.656423982914407,0.66966116258322,0.0851639267009259,0.694489729690451,0.636842515346664,0.694489729690451,0.580095464009499,0.0702097903657188,0.694489729690451,0.0851639267009259,0.828410150280973,0.635015076408504,0.746675653623521,0.493523786972182,0.153327130296031,0.679286835041917,0.33303772862436,0.3737850662205,0.212802315454317,0.275443261748443,0.174346818167105,0.275443261748443,0.243116422568162,0.275443261748443,0.559912942586661,0.275443261748443,0.0972063701833653,0.321890820946553,0.275443261748443,0.276003719689211,0.299084451235827,0.276003719689211,0.276003719689211,0.276003719689211,0.0947895991596227,0.275908633897666,0.275908633897666,0.559912942586661,0.153327130296031,0.276469091838434,0.25531286120341,0.359318129700423,0.275443261748443,0.275443261748443,0.275443261748443,0.275908633897666,0.391975177950615,0.499276257103438,0.270604874034871,0.275443261748443,0.275443261748443,0.389319051985803,0.230049766722022,0.482739549913285,0.230049766722022,0.327894645382732,0.276469091838434,0.275443261748443,0.27735282659386,0.276003719689211,0.275443261748443,0.275443261748443,0.486787976063824,0.283119817720153,0.27735282659386,0.275443261748443
