	CDC1	CDC2	CDC3	CDC4	X378	X360	Junction	MSR
0	True	True	True	True	True	True	True	True
1	False	True	True	False	True	True	True	True
2	False	True	True	False	True	True	True	True
3	False	True	True	True	False	True	True	True
4	False	True	True	False	True	True	True	True
5	False	True	True	False	True	True	True	True
6	False	False	False	False	False	False	True	True
7	False	True	True	False	True	True	True	True
8	True	True	True	True	True	True	False	True
9	False	True	True	False	True	True	True	True
10	False	True	True	False	True	True	True	True
11	False	False	False	False	False	False	True	True
12	False	False	False	False	False	False	True	True
13	True	True	True	True	True	True	True	True
14	True	True	True	False	True	True	True	True
15	True	True	True	True	True	True	True	True
16	False	True	True	False	True	False	True	True
17	False	True	False	False	True	True	True	True
18	False	False	False	False	False	False	False	True
19	False	False	False	False	False	False	False	True
20	True	False	False	False	False	False	True	True
21	False	True	True	False	True	True	True	True
22	False	False	True	False	False	True	True	True
23	False	True	False	False	False	True	True	True
24	False	False	False	False	False	False	True	True
25	False	False	False	False	False	True	True	True
26	True	False	False	True	False	False	True	True
27	False	False	True	False	True	True	True	True
28	False	False	True	False	True	False	True	True
29	True	True	True	True	True	True	False	True
30	True	True	True	True	False	True	True	True
31	True	True	True	True	True	True	False	True
32	True	True	True	True	True	True	True	True
33	True	True	True	True	True	True	True	True
34	False	False	True	True	False	False	False	True
35	True	True	True	True	True	True	True	True
36	True	True	True	True	True	True	True	True
37	False	False	False	False	True	True	False	True
38	True	True	True	True	True	False	True	True
39	False	True	True	False	True	False	True	True
40	True	True	True	True	True	True	True	True
41	True	False	True	False	True	True	False	True
42	False	True	False	False	True	True	True	True
43	True	False	False	False	False	False	True	False
44	True	True	True	False	True	True	True	True
45	True	True	True	False	True	True	True	True
46	True	True	True	False	True	True	True	True
47	False	False	False	False	True	False	False	True
48	True	False	True	True	True	True	True	True
49	False	True	True	True	True	True	True	True
50	False	False	True	True	True	True	False	True
51	True	True	True	True	True	True	True	True
52	True	True	True	False	True	True	True	True
53	False	True	True	False	True	True	True	True
54	True	True	True	True	True	True	True	True
55	True	False	True	True	True	False	True	True
56	False	False	False	False	False	False	True	True
57	False	False	False	False	False	False	True	True
58	True	True	True	True	True	True	True	True
59	True	True	True	True	True	True	True	True
60	True	True	True	True	True	True	True	True
61	False	True	True	True	True	True	False	True
62	True	True	True	True	True	True	True	True
63	True	True	False	True	True	True	True	True
64	False	True	True	False	True	True	True	True
65	True	True	True	True	True	True	False	True
66	True	True	True	True	True	True	True	True
67	True	True	True	True	True	True	True	True
68	False	False	False	False	False	False	True	False
69	True	True	True	False	True	True	False	True
70	True	False	False	True	True	True	True	True
71	True	True	True	True	True	True	False	True
72	False	False	False	False	False	False	True	True
73	False	False	False	False	False	False	True	True
74	False	False	False	False	False	False	True	False
75	False	True	False	False	False	False	True	True
76	False	False	False	False	True	True	True	True
77	False	True	False	False	True	True	True	True
78	True	True	True	True	True	True	True	True
79	False	False	False	False	False	False	True	True
80	False	True	True	False	True	True	True	True
81	True	True	True	False	True	True	True	True
82	True	True	True	True	True	True	True	True
83	True	True	True	True	True	True	True	True
84	False	False	False	False	False	False	True	True
85	True	True	True	True	True	True	True	True
86	False	True	True	True	False	True	False	True
87	False	False	False	False	False	False	True	False
88	False	False	False	False	False	True	True	True
89	False	False	False	False	False	False	True	True
90	True	True	True	False	True	True	True	True
91	False	False	False	False	False	False	True	False
92	False	False	False	False	False	False	True	False
93	False	False	False	False	True	True	False	True
94	False	False	False	False	False	False	True	True
95	False	False	False	False	False	False	True	True
96	False	False	False	False	False	False	True	True
97	True	True	True	True	True	True	True	True
