,MSR_Right_Hap_1,MSR_Right_Hap_2
0,Hap_1,
1,Hap_2,
2,Hap_2,
3,Hap_2,
4,Hap_1,
5,Hap_2,
6,Hap_2,
7,Hap_2,
8,Hap_2,
9,Hap_1,Hap_2
10,Hap_1,
11,Hap_2,
12,Hap_2,
13,Hap_2,
14,Hap_1,
15,Hap_2,
16,Hap_2,
17,Hap_2,
18,Hap_2,
19,Hap_1,
20,Hap_2,
21,Hap_1,
22,Hap_2,
23,Hap_1,
24,,
25,Hap_2,
26,Hap_1,
27,Hap_2,
28,Hap_1,
29,Hap_1,
30,Hap_1,
31,Hap_1,
32,Hap_1,
33,Hap_1,
34,Hap_1,
35,Hap_2,
36,Hap_1,
37,Hap_1,
38,Hap_1,
39,Hap_1,
40,Hap_1,
41,Hap_1,
42,Hap_1,
43,,
44,Hap_1,
45,Hap_1,
46,Hap_1,
47,Hap_1,
48,Hap_1,
49,Hap_1,
50,Hap_1,
51,Hap_2,
52,Hap_1,
53,Hap_1,
54,Hap_1,
55,Hap_1,
56,Hap_2,
57,Hap_1,
58,Hap_1,
59,Hap_1,
60,Hap_1,
61,Hap_1,
62,Hap_1,
63,Hap_2,
64,Hap_1,
65,Hap_1,
66,Hap_1,
67,Hap_1,
68,,
69,Hap_1,
70,Hap_2,
71,Hap_1,
72,Hap_1,
73,Hap_1,
74,,
75,Hap_2,
76,Hap_2,
77,Hap_1,
78,Hap_1,
79,Hap_1,
80,Hap_1,
81,Hap_1,
82,Hap_1,
83,Hap_1,
84,Hap_1,
85,Hap_2,
86,Hap_1,
87,,
88,Hap_1,
89,,
90,Hap_1,
91,,
92,,
93,Hap_1,
94,,
95,,
96,,
97,Hap_1,
