	CDC1_Hap_1	CDC1_Hap_2	CDC1_Hap_3	CDC1_Hap_4
0	X			
1				
2				
3				
4				
5				
6				
7				
8		X		
9				
10				
11				
12				
13		X		
14	X			
15		X		
16				
17				
18				
19				
20		X		
21				
22				
23				
24				
25				
26		X		
27				
28				
29		X		
30	X			
31		X		
32	X			
33		X		
34				
35		X		
36		X		
37				
38	X			
39				
40		X		
41		X		
42				
43		X		
44		X		
45		X		
46		X		
47				
48		X		
49				
50				
51		X		
52		X		
53				
54		X		
55		X		
56				
57				
58		X		
59		X		
60		X		
61				
62		X		
63		X		
64				
65		X		
66		X		
67		X		
68				
69		X		
70		X		
71		X		
72				
73				
74				
75				
76				
77				
78		X		
79				
80				
81		X		
82		X		
83		X		
84				
85		X		
86				
87				
88				
89				
90		X		
91				
92				
93				
94				
95				
96				
97		X		
