	CDC1_Hap_1	CDC1_Hap_2	CDC1_Hap_3	CDC1_Hap_4
0	1.0			
1				
2				
3				
4				
5				
6				
7				
8		1.0		
9				
10				
11				
12				
13		1.0		
14	1.0			
15		1.0		
16				
17				
18				
19				
20		1.0		
21				
22				
23				
24				
25				
26		1.0		
27				
28				
29		1.0		
30	1.0			
31		1.0		
32	1.0			
33		1.0		
34				
35		1.0		
36		1.0		
37				
38	1.0			
39				
40		1.0		
41		1.0		
42				
43		1.0		
44		1.0		
45		1.0		
46		1.0		
47				
48		1.0		
49				
50				
51		1.0		
52		1.0		
53				
54		1.0		
55		1.0		
56				
57				
58		1.0		
59		1.0		
60		1.0		
61				
62		1.0		
63		1.0		
64				
65		1.0		
66		1.0		
67		1.0		
68				
69		1.0		
70		1.0		
71		1.0		
72				
73				
74				
75				
76				
77				
78		1.0		
79				
80				
81		1.0		
82		1.0		
83		1.0		
84				
85		1.0		
86				
87				
88				
89				
90		1.0		
91				
92				
93				
94				
95				
96				
97		1.0		
