	X378_PART_B_Hap_1	X378_PART_B_Hap_2	X378_PART_B_Hap_3	X378_PART_B_Hap_4	X378_PART_B_Hap_5	X378_PART_B_Hap_6
0		X				
1		X				
2	X	X				
3						
4		X				
5	X	X				
6						
7	X	X				
8	X	X				
9	X	X				
10		X				
11						
12						
13	X	X				
14		X				
15		X				
16	X					
17	X					
18						
19						
20	X					
21		X				
22						
23						
24						
25						
26						
27	X	X				
28		X				
29		X				
30						
31		X				
32		X				
33		X				
34						
35		X				
36		X				
37		X				
38		X				
39		X				
40		X				
41		X				
42		X				
43						
44		X				
45		X				
46		X				
47		X				
48		X				
49		X				
50		X				
51		X				
52		X				
53		X				
54		X				
55		X				
56						
57						
58		X				
59		X				
60		X				
61		X				
62		X				
63		X				
64		X				
65		X				
66		X				
67		X				
68						
69		X				
70		X				
71		X				
72						
73						
74						
75						
76		X				
77		X				
78		X				
79						
80		X				
81		X				
82		X				
83		X				
84						
85		X				
86						
87						
88						
89						
90		X				
91						
92						
93		X				
94						
95						
96						
97		X				
